id,date,sd,quantile,sign,trade,perd,chg,name,closing_price
422,2010/7/30,-0.0242187,-0.0334194,0,0,0,0,marketing_bear_lin1,0
423,2010/8/31,-0.0272497,-0.0347298,0,0,0,0,marketing_bear_lin1,0
424,2010/9/30,-0.00265993,-0.0350604,0,0,0,0,marketing_bear_lin1,0
425,2010/10/29,0.0118021,-0.0349933,0,0,0,0,marketing_bear_lin1,0
426,2010/11/30,0.0265454,-0.0347711,0,0,0,0,marketing_bear_lin1,0
427,2010/12/31,0.0253962,-0.0344193,0,0,0,0,marketing_bear_lin1,0
428,2011/1/31,0.0252426,-0.033866,0,0,0,0,marketing_bear_lin1,0
429,2011/2/28,0.0200512,-0.0335475,0,0,0,0,marketing_bear_lin1,0
430,2011/3/31,0.00758694,-0.0338078,0,0,0,0,marketing_bear_lin1,0
431,2011/4/29,-0.00376037,-0.0344373,0,0,0,0,marketing_bear_lin1,0
432,2011/5/31,-0.00708337,-0.0351141,0,0,0,0,marketing_bear_lin1,0
433,2011/6/30,-0.00923342,-0.0354641,0,0,0,0,marketing_bear_lin1,0
434,2011/7/29,-0.0156132,-0.0356595,0,0,0,0,marketing_bear_lin1,0
435,2011/8/31,-0.0338783,-0.0361952,0,0,0,0,marketing_bear_lin1,0
436,2011/9/30,-0.0521271,-0.0367641,1,0,0,0,marketing_bear_lin1,0
437,2011/10/31,-0.0590727,-0.036612,1,1,0,0,marketing_bear_lin1,0
438,2011/11/30,-0.0558572,-0.0346421,1,1,1,1,marketing_bear_lin1,0
439,2011/12/30,-0.046546,-0.033003,1,1,1,0,marketing_bear_lin1,0
440,2012/1/31,-0.0367208,-0.0316436,1,1,1,0,marketing_bear_lin1,0
441,2012/2/29,-0.0181448,-0.0304828,0,0,1,0,marketing_bear_lin1,0
442,2012/3/30,-0.00229817,-0.0294005,0,0,1,0,marketing_bear_lin1,0
443,2012/4/30,0.00415124,-0.0292244,0,0,1,0,marketing_bear_lin1,0
444,2012/5/31,0.00201204,-0.0296508,0,0,0,-1,marketing_bear_lin1,0
445,2012/6/29,0.000828826,-0.0299387,0,0,0,0,marketing_bear_lin1,0
446,2012/7/31,0.00134357,-0.0298694,0,0,0,0,marketing_bear_lin1,0
447,2012/8/31,0.00461463,-0.0298197,0,0,0,0,marketing_bear_lin1,0
448,2012/9/28,0.00507965,-0.0296623,0,0,0,0,marketing_bear_lin1,0
449,2012/10/31,0.00476334,-0.0296057,0,0,0,0,marketing_bear_lin1,0
450,2012/11/30,0.00486837,-0.0295284,0,0,0,0,marketing_bear_lin1,0
