Date,0050,0056,WIT01,WIT02,Y1100,Y1200,Y1300,Y1400,Y1600,Y1900,Y2500,Y2800,Y5555,Y5556,Y8886,Y8887,Y8888,Y9997,Y9998,Y9999,Z50TR,ZGT50,ESG100,ESG150
2000-01-31,1.0,1.0,1.0,1.0,1.1456922047783045,1.2437226259972298,1.1555171584562243,1.1655825442229995,1.121563843229153,1.299209496634189,1.4059074975388652,1.225038166698612,1.0,1.0,1.0,1.0,1.1384082331736451,1.0,1.1533998821234774,1.1533998821234774,1.0,1.0,1.0,1.0
2000-02-29,1.0,1.0,1.0,1.0,1.1985434165779565,1.3039355011853644,1.0939751621061913,1.0964492454223742,1.0999019065892832,1.452183084925179,1.4205725577086783,1.1307215853153199,1.0,1.0,1.0,1.0,1.1138405517754288,1.0,1.116832998548097,1.116832998548097,1.0,1.0,1.0,1.0
2000-03-31,1.0,1.0,1.0,1.0,1.045701550123399,1.2274133652646793,1.1135164713308539,1.0701416255049874,1.2174895587956869,1.3124268754648234,1.416803106356551,1.0545203299682289,1.0,1.0,1.0,1.0,1.1894083516507716,1.0,1.1664267315439518,1.1664267315439518,1.0,1.0,1.0,1.0
2000-04-30,1.0,1.0,1.0,1.0,0.8965815726033988,0.9788342071261735,0.9953558177204943,0.8854706211551867,1.1076614598653889,1.2100552261337953,1.1971622923897431,0.8873826426588799,1.0,1.0,1.0,1.0,1.0700335466588848,1.0,1.0388828987098342,1.0388828987098342,1.0,1.0,1.0,1.0
2000-05-31,1.0,1.0,1.0,1.0,0.9188779250483112,1.0008003200853504,1.0334234203429513,0.9038760868986098,1.104141378619911,1.2108977177242484,1.170572563945067,0.9787353498636296,1.0,1.0,1.0,1.0,1.074402829729555,1.0,1.058076884018013,1.058076884018013,1.0,1.0,1.0,1.0
2000-06-30,1.0,1.0,1.0,1.0,0.8354055361465282,0.9378277333380011,0.9292969002496009,0.7910382150937576,1.0432564259290933,1.0505375651829216,1.0623622857456168,0.8662211790235499,1.0,1.0,1.0,1.0,1.0012718080628131,1.0,0.9782519740044643,0.9782519740044643,1.0,1.0,1.0,1.0
2000-07-31,1.0,1.0,1.0,1.0,0.9340241355754164,0.9865887431382732,0.9840121838944353,0.8250518880658231,0.9654113490733041,1.113320509677031,1.0387873258795706,0.9656324535877426,1.0,1.0,1.0,1.0,0.9599692752311281,1.0,0.960478193798508,0.960478193798508,1.0,1.0,1.0,1.0
2000-08-31,1.0,1.0,1.0,1.0,0.7390386936000297,0.8409408116696191,0.8026343689902994,0.6921497119607252,0.9649683269454358,0.8468963202737211,0.7924879328772028,0.8496871976433004,1.0,1.0,1.0,1.0,0.9123998070930257,1.0,0.9015425845651583,0.9015425845651583,1.0,1.0,1.0,1.0
2000-09-30,1.0,1.0,1.0,1.0,0.6638254769312746,0.820768649786192,0.6942695453532141,0.6147890980435804,0.733983301959772,0.6884800068103393,0.6683789338751646,0.7652910959135389,1.0,1.0,1.0,1.0,0.7258179885975743,1.0,0.7320708354223846,0.7320708354223846,1.0,1.0,1.0,1.0
2000-10-31,1.0,1.0,1.0,1.0,0.6834771870769114,0.8033008320604749,0.6638918627982058,0.5225999612730551,0.6357365697196116,0.7239861620280543,0.6069754096671479,0.7244655995436254,1.0,1.0,1.0,1.0,0.6430074297436491,1.0,0.6562069941155333,0.6562069941155333,1.0,1.0,1.0,1.0
2000-11-30,1.0,1.0,1.0,1.0,0.65256273422548,0.7444400157124293,0.6321693258948038,0.4967482104862906,0.6050253022046113,0.641829876682014,0.5378965626701944,0.6763301057596255,1.0,1.0,1.0,1.0,0.6117283301551725,1.0,0.6222078985796075,0.6222078985796075,1.0,1.0,1.0,1.0
2000-12-31,1.0,1.0,1.0,1.0,0.657589764693589,0.7572165523055983,0.6078567702590495,0.5170395026219763,0.502762192000923,0.621614595295027,0.5062356533624915,0.7007668805260867,1.0212189879759692,1.0213548191339419,1.0,1.0,0.5361528449888622,1.0,0.5609166267066419,0.5609166267066419,1.0,1.0,1.0,1.0
2001-01-31,1.0,1.0,1.0,1.0,0.7120080937559579,0.765771083891183,0.7035579724963866,0.5804822821589476,0.655545215182088,0.7316317246675309,0.617734824609963,0.8989238080438435,1.2057948788900488,1.206425674550395,1.0,1.0,0.6680368114518346,1.0,0.7026059996326942,0.7026059996326942,1.0,1.0,1.0,1.0
2001-02-28,1.0,1.0,1.0,1.0,0.6977098153384185,0.8057014617014495,0.6905133310133764,0.5824983069908393,0.6140174076594463,0.7416743600519156,0.7319756723995102,0.845474728926751,1.1915893449308486,1.1923736687340458,1.0,1.0,0.6409120749722252,1.0,0.6716539677660374,0.6716539677660374,1.0,1.0,1.0,1.0
2001-03-31,1.0,1.0,1.0,1.0,0.6560882313979485,0.8031072598863322,0.6663281580422791,0.5507931217228502,0.6523585140517918,0.7554746891109828,0.6902406321092054,0.8114187664464402,1.1490195344683087,1.1494861311120121,1.0,1.0,0.6636502501363194,1.0,0.6862392164609253,0.6862392164609253,1.0,1.0,1.0,1.0
2001-04-30,1.0,1.0,1.0,1.0,0.5776437210093048,0.7286549344362796,0.6049890017755027,0.49778849550135623,0.6178750663319826,0.6675519927372087,0.5709286690410236,0.7195465910434977,1.030387556585598,1.0312091028108796,1.0,1.0,0.6216643264518704,1.0,0.6369723697114115,0.6369723697114115,1.0,1.0,1.0,1.0
